266	,13	,5	,0	,20	,1	,3	,2	,1	,12	,2	,0	,0	,8	,0	,0	,1	,0	
0	,26	,0	,0	,0	,0	,0	,0	,0	,0	,3	,0	,0	,0	,0	,0	,0	,0	
0	,0	,253	,3	,0	,0	,2	,0	,0	,0	,0	,3	,1	,0	,0	,0	,0	,0	
0	,0	,14	,26	,0	,3	,0	,0	,1	,0	,0	,0	,8	,0	,1	,0	,0	,1	
1	,6	,0	,0	,10	,0	,0	,1	,1	,0	,1	,0	,0	,4	,0	,0	,0	,0	
0	,6	,5	,8	,0	,361	,0	,21	,9	,0	,1	,0	,3	,0	,46	,0	,5	,4	
1	,2	,279	,4	,1	,6	,187	,3	,19	,0	,0	,3	,1	,0	,1	,4	,1	,9	
0	,73	,1	,1	,1	,46	,1	,259	,10	,0	,9	,0	,0	,0	,6	,0	,66	,5	
0	,12	,16	,29	,1	,84	,11	,44	,275	,0	,2	,0	,8	,1	,11	,0	,11	,132	
27	,1	,1	,0	,2	,0	,0	,0	,0	,440	,59	,2	,1	,280	,3	,2	,18	,17	
0	,15	,0	,0	,0	,0	,0	,0	,0	,0	,663	,0	,0	,1	,1	,0	,14	,1	
0	,0	,62	,1	,0	,0	,0	,0	,0	,0	,0	,256	,81	,0	,4	,3	,1	,6	
0	,0	,4	,8	,0	,1	,0	,0	,1	,0	,1	,17	,782	,0	,43	,0	,5	,58	
0	,2	,0	,0	,3	,0	,0	,0	,0	,3	,70	,1	,1	,332	,3	,0	,22	,20	
0	,0	,0	,0	,0	,15	,0	,1	,0	,0	,11	,1	,37	,1	,677	,0	,79	,63	
0	,0	,22	,0	,0	,0	,15	,0	,2	,1	,9	,91	,29	,11	,20	,106	,21	,251	
0	,2	,0	,0	,0	,2	,0	,8	,0	,0	,100	,0	,3	,3	,62	,0	,701	,52	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1	,0	,3	,0	,3	,0	,4	,43	
574	,28	,10	,0	,44	,1	,7	,4	,2	,1	,0	,0	,0	,1	,0	,0	,0	,0	
0	,204	,0	,0	,0	,0	,0	,2	,0	,0	,1	,0	,0	,0	,0	,0	,0	,0	
0	,0	,426	,5	,0	,1	,3	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,1	,158	,290	,0	,37	,1	,2	,13	,0	,0	,0	,2	,0	,0	,0	,0	,0	
23	,174	,10	,1	,271	,8	,6	,27	,13	,0	,0	,0	,0	,3	,0	,0	,0	,0	
0	,14	,11	,19	,0	,827	,1	,48	,20	,0	,0	,0	,0	,0	,3	,0	,0	,0	
1	,2	,189	,2	,1	,4	,127	,2	,13	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,136	,1	,2	,1	,85	,1	,479	,19	,0	,1	,0	,0	,0	,0	,0	,3	,0	
0	,23	,31	,54	,3	,158	,20	,82	,517	,0	,0	,0	,0	,0	,1	,0	,1	,6	
105	,5	,2	,0	,8	,0	,1	,1	,0	,18	,2	,0	,0	,11	,0	,0	,1	,1	
0	,190	,0	,0	,0	,0	,0	,2	,0	,0	,88	,0	,0	,0	,0	,0	,2	,0	
0	,0	,333	,4	,0	,1	,2	,0	,0	,0	,0	,14	,5	,0	,0	,0	,0	,1	
0	,0	,33	,60	,0	,8	,0	,1	,3	,0	,0	,1	,64	,0	,4	,0	,0	,5	
10	,69	,4	,1	,110	,3	,2	,12	,5	,2	,33	,0	,1	,154	,1	,0	,10	,9	
0	,8	,6	,12	,0	,496	,1	,29	,12	,0	,4	,0	,12	,0	,227	,0	,26	,21	
0	,0	,26	,1	,0	,1	,18	,0	,2	,0	,0	,1	,0	,0	,0	,2	,0	,3	
0	,66	,0	,1	,1	,42	,0	,234	,9	,0	,30	,0	,1	,1	,19	,0	,214	,16	
0	,8	,10	,18	,1	,52	,7	,27	,171	,0	,4	,0	,19	,1	,24	,0	,25	,295	
137	,7	,2	,0	,11	,0	,2	,1	,1	,49	,7	,0	,0	,31	,0	,0	,2	,2	
0	,439	,0	,0	,0	,1	,0	,4	,0	,0	,430	,0	,0	,1	,1	,0	,9	,1	
0	,0	,137	,2	,0	,0	,1	,0	,0	,0	,0	,13	,4	,0	,0	,0	,0	,0	
0	,0	,115	,210	,0	,27	,1	,2	,10	,0	,0	,10	,471	,0	,26	,0	,3	,35	
10	,71	,4	,1	,110	,3	,2	,11	,5	,3	,69	,1	,1	,328	,3	,0	,22	,19	
0	,3	,2	,4	,0	,160	,0	,9	,4	,0	,3	,0	,8	,0	,155	,0	,18	,14	
0	,1	,119	,2	,0	,3	,80	,1	,8	,0	,1	,11	,4	,1	,2	,13	,3	,30	
0	,61	,1	,1	,1	,38	,0	,215	,8	,0	,60	,0	,2	,2	,37	,0	,418	,31	
0	,5	,6	,11	,0	,32	,4	,17	,105	,0	,5	,1	,25	,1	,31	,1	,32	,386	
99	,5	,2	,0	,8	,0	,1	,1	,0	,434	,58	,2	,1	,276	,3	,2	,18	,16	
0	,29	,0	,0	,0	,0	,0	,0	,0	,0	,346	,0	,0	,0	,1	,0	,7	,1	
0	,0	,66	,1	,0	,0	,0	,0	,0	,0	,0	,74	,24	,0	,1	,1	,0	,2	
0	,0	,15	,28	,0	,4	,0	,0	,1	,0	,1	,17	,768	,0	,43	,0	,5	,57	
1	,10	,1	,0	,15	,0	,0	,2	,1	,6	,120	,1	,2	,567	,5	,1	,37	,33	
0	,1	,1	,1	,0	,56	,0	,3	,1	,0	,11	,1	,36	,1	,664	,0	,77	,62	
0	,1	,77	,1	,0	,2	,51	,1	,5	,1	,8	,86	,27	,10	,19	,101	,20	,237	
0	,2	,0	,0	,0	,1	,0	,8	,0	,0	,27	,0	,1	,1	,17	,0	,187	,14	
0	,0	,0	,0	,0	,1	,0	,0	,1	,0	,1	,0	,4	,0	,5	,0	,5	,58	
570	,28	,10	,0	,44	,1	,7	,4	,2	,1	,0	,0	,0	,1	,0	,0	,0	,0	
0	,570	,0	,0	,0	,1	,0	,6	,0	,0	,2	,0	,0	,0	,0	,0	,0	,0	
0	,0	,742	,10	,0	,1	,4	,0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,1	,277	,508	,0	,65	,2	,4	,23	,0	,0	,0	,4	,0	,0	,0	,0	,0	
23	,175	,10	,1	,273	,8	,6	,28	,13	,0	,1	,0	,0	,3	,0	,0	,0	,0	
0	,13	,10	,18	,0	,778	,1	,45	,19	,0	,0	,0	,0	,0	,3	,0	,0	,0	
0	,0	,10	,0	,0	,0	,7	,0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,7	,0	,0	,0	,5	,0	,26	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,15	,20	,35	,2	,102	,13	,53	,333	,0	,0	,0	,0	,0	,0	,0	,0	,4	
2	,0	,0	,0	,0	,0	,0	,0	,0	,93	,13	,0	,0	,59	,1	,1	,4	,3	
0	,6	,0	,0	,0	,0	,0	,0	,0	,0	,736	,0	,0	,1	,1	,0	,15	,1	
0	,0	,35	,1	,0	,0	,0	,0	,0	,0	,0	,426	,135	,1	,8	,4	,1	,10	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,3	,112	,0	,6	,0	,1	,8	
0	,1	,0	,0	,1	,0	,0	,0	,0	,4	,90	,0	,1	,426	,4	,1	,28	,25	
0	,0	,0	,0	,0	,1	,0	,0	,0	,0	,3	,0	,10	,0	,177	,0	,21	,16	
0	,0	,8	,0	,0	,0	,5	,0	,1	,1	,9	,97	,31	,11	,22	,114	,23	,269	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1	,0	,0	,0	,1	,0	,8	,1	
0	,0	,0	,0	,0	,1	,0	,0	,2	,0	,9	,1	,48	,3	,61	,1	,63	,751	
243	,12	,4	,0	,19	,0	,3	,2	,1	,71	,10	,1	,0	,45	,0	,0	,3	,3	
0	,124	,0	,0	,0	,0	,0	,2	,0	,0	,100	,0	,0	,0	,0	,0	,2	,0	
0	,0	,164	,2	,0	,0	,1	,0	,0	,0	,0	,12	,4	,0	,0	,0	,0	,1	
0	,0	,129	,236	,0	,30	,1	,2	,11	,0	,0	,10	,436	,0	,24	,0	,3	,32	
8	,57	,3	,0	,89	,3	,2	,9	,4	,2	,46	,0	,1	,218	,2	,0	,14	,13	
0	,5	,4	,7	,0	,305	,0	,18	,8	,0	,4	,0	,13	,0	,243	,0	,28	,23	
0	,1	,59	,1	,0	,1	,40	,1	,4	,0	,0	,5	,1	,1	,1	,5	,1	,12	
0	,27	,0	,0	,0	,17	,0	,94	,4	,0	,21	,0	,1	,1	,13	,0	,150	,11	
0	,4	,6	,10	,0	,29	,4	,15	,96	,0	,0	,2	,18	,1	,23	,3	,24	,288	