6.000000	,0.000000	,0.500000	,0.000000	,3.500000	,0.000000	,0.000000	,0.000000	
0.000000	,7.999994	,1.000006	,0.000000	,0.000000	,1.000000	,0.000000	,0.000000	
0.000001	,0.000001	,9.999998	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	
0.000000	,0.000000	,0.000000	,10.000000	,0.000000	,0.000000	,0.000000	,0.000000	
0.000276	,0.000000	,0.000000	,0.000000	,9.999724	,0.000000	,0.000000	,0.000000	
0.000000	,0.000275	,0.000000	,0.000000	,0.000000	,9.999718	,0.000006	,0.000000	
0.000000	,0.000000	,0.000275	,0.000000	,0.000001	,0.000001	,9.999723	,0.000000	
0.000000	,0.000000	,0.000000	,0.000276	,0.000000	,0.000000	,0.000000	,9.999724	
9.999725	,0.000000	,0.000000	,0.000000	,0.000275	,0.000000	,0.000000	,0.000000	
0.000000	,9.999718	,0.000006	,0.000000	,0.000000	,0.000275	,0.000000	,0.000000	
0.000001	,0.000001	,9.999722	,0.000000	,0.000000	,0.000000	,0.000276	,0.000000	
0.000000	,0.000000	,0.000000	,9.999725	,0.000000	,0.000000	,0.000000	,0.000275	
0.000000	,0.000000	,0.000000	,0.000000	,10.000000	,0.000000	,0.000000	,0.000000	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,9.999994	,0.000006	,0.000000	
0.000000	,0.000000	,0.000000	,0.000000	,0.000001	,0.000001	,9.999998	,0.000000	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,10.000000	